"""{0}"" is not available in warehouse ""{1}"". Please select another warehouse.","""{0}"" n'est pas disponible dans l'entrepôt ""{1}"". Veuillez sélectionner un autre entrepôt.",
&lt;strong&gt;Company:&lt;strong&gt;,&lt;strong&gt;Société :&lt;strong&gt;,
&lt;strong&gt;Items Tracked:&lt;strong&gt; {0},&lt;strong&gt;Articles suivis :&lt;strong&gt; {0},
&lt;strong&gt;Last Sync:&lt;strong&gt; Never,&lt;strong&gt;Dernière synchro :&lt;strong&gt; Jamais,
&lt;strong&gt;Last Sync:&lt;strong&gt; {0},&lt;strong&gt;Dernière synchro :&lt;strong&gt; {0},
"&lt;strong&gt;Note:&lt;strong&gt; When enabled, the system will allow sales even when stock quantity is zero or negative. This is useful for handling stock sync delays or backorders. All transactions are tracked in the stock ledger.","&lt;strong&gt;Note :&lt;strong&gt; Lorsque cette option est activée, le système permettra les ventes même lorsque la quantité en stock est nulle ou négative. Cela est utile pour gérer les retards de synchronisation ou les commandes en attente. Toutes les transactions sont suivies dans le journal des stocks.",
&lt;strong&gt;Opened:&lt;/strong&gt; {0},&lt;strong&gt;Ouvert :&lt;/strong&gt; {0},
&lt;strong&gt;Opened:&lt;strong&gt;,&lt;strong&gt;Ouvert :&lt;strong&gt;,
&lt;strong&gt;POS Profile:&lt;/strong&gt; {0},&lt;strong&gt;Profil POS :&lt;/strong&gt; {0},
&lt;strong&gt;POS Profile:&lt;strong&gt; {0},&lt;strong&gt;Profil POS :&lt;strong&gt; {0},
&lt;strong&gt;Status:&lt;strong&gt; Running,&lt;strong&gt;Statut :&lt;strong&gt; En cours,
&lt;strong&gt;Status:&lt;strong&gt; Stopped,&lt;strong&gt;Statut :&lt;strong&gt; Arrêté,
&lt;strong&gt;Warehouse:&lt;strong&gt; {0},&lt;strong&gt;Entrepôt :&lt;strong&gt; {0},
&lt;strong&gt;{0}&lt;/strong&gt; of &lt;strong&gt;{1}&lt;/strong&gt; invoice(s),&lt;strong&gt;{0}&lt;/strong&gt; sur &lt;strong&gt;{1}&lt;/strong&gt; facture(s),
(FREE),(GRATUIT),
(Max Discount: {0}),(Remise max : {0}),
(Min: {0}),(Min : {0}),
+ Add Payment,+ Ajouter un paiement,
+ Create New Customer,+ Créer un nouveau client,
+ Free Item,+ Article gratuit,
+{0} FREE,+{0} GRATUIT,
+{0} more,+{0} de plus,
-- No Campaign --,-- Aucune campagne --,
-- Select --,-- Sélectionner --,
1 item,1 article,
1. Go to &lt;strong&gt;Item Master&lt;strong&gt; → &lt;strong&gt;{0}&lt;strong&gt;,1. Allez dans &lt;strong&gt;Fiche article&lt;strong&gt; → &lt;strong&gt;{0}&lt;strong&gt;,
2. Click &lt;strong&gt;&quot;Make Variants&quot;&lt;strong&gt; button,2. Cliquez sur le bouton &lt;strong&gt;&quot;Créer des variantes&quot;&lt;strong&gt;,
3-Day Avg,Moy. 3 jours,
3. Select attribute combinations,3. Sélectionnez les combinaisons d'attributs,
4. Click &lt;strong&gt;&quot;Create&quot;&lt;strong&gt;,4. Cliquez sur &lt;strong&gt;&quot;Créer&quot;&lt;strong&gt;,
"<span class=""h4""><b>Reports &amp; Configuration</b></span>","<span class=""h4""><b>Rapports &amp; Configuration</b></span>",
"<span class=""h4""><b>Your Shortcuts</b></span>","<span class=""h4""><b>Vos raccourcis</b></span>",
= Global,= Global,
A customer account is required for takeaway orders.,Un compte client est requis pour les commandes à emporter.,
A gift card has been created,Une carte cadeau a été créée,
A payment is already in progress,Un paiement est déjà en cours,
A wallet already exists for customer {0} in company {1},Un portefeuille existe déjà pour le client {0} dans la société {1},
A3,A3,
A4 Landscape,A4 Paysage,
A4 Portrait,A4 Portrait,
API key is required,La clé API est requise,
API secret not configured for this user,Le secret API n'est pas configuré pour cet utilisateur,
APPLIED,APPLIQUÉ,
Accent Color,Couleur d'accent,
Accept customer purchase orders,Accepter les commandes d'achat client,
Access your point of sale system,Accédez à votre système de point de vente,
Account,Compte,
Account (optional),Compte (facultatif),
Account (required),Compte (obligatoire),
Account Head,En-tête de compte,
Accounting,Comptabilité,
Accounts Manager,Gestionnaire des comptes,
Accounts User,Utilisateur des comptes,
Active,Actif,
Active Only,Actifs uniquement,
Active Orders,Commandes actives,
Active Shift Detected,Session active détectée,
Active Warehouse,Entrepôt actif,
Active on this card,Actif sur cette carte,
Actual Amount *,Montant réel *,
Actual Stock,Stock réel,
Add,Ajouter,
Add Area,Ajouter une zone,
Add Category,Ajouter une catégorie,
Add Item,Ajouter un article,
Add Menu,Ajouter un menu,
Add Note / Modifier,Ajouter une note / modificateur,
Add Option,Ajouter une option,
Add Payment,Ajouter un paiement,
Add Station,Ajouter un poste,
Add Step,Ajouter une étape,
Add Table,Ajouter une table,
Add another...,Ajouter un autre...,
Add items from the menu,Ajouter des articles depuis le menu,
Add items to the cart before applying an offer.,Ajoutez des articles au panier avant d'appliquer une offre.,
Add items to your cart to see eligible offers,Ajoutez des articles à votre panier pour voir les offres éligibles,
Add slot,Ajouter un créneau,
Add to Cart,Ajouter au panier,
Add to Customer Credit Balance,Ajouter au solde crédit client,
Add to cart,Ajouter au panier,
Add {0} more to unlock,Ajoutez {0} de plus pour débloquer,
Add/Edit Coupon Conditions,Ajouter/modifier les conditions du coupon,
Added to Customer Credit,Ajouté au crédit client,
